# W best (http://www.cfht.hawaii.edu/Instruments/Filters/wircam.html)
# nm        Transmission (%)
1403.67     17.55628951
1404.19     19.14209961
1404.70     20.51169564
1405.22     22.72653128
1405.73     24.86395511
1406.25     27.28233077
1406.76     29.75292655
1407.28     32.79826213
1407.79     36.20804757
1408.31     39.80812869
1408.82     43.63031553
1409.34     47.79584026
1409.87     52.1111725
1410.39     56.3359427
1410.91     60.47873868
1411.43     64.56788966
1411.95     68.51497095
1412.47     71.84658382
1412.99     74.76698755
1413.51     77.1680019
1414.03     79.18043287
1414.52     80.76590799
1415.02     81.97555755
1415.51     82.96931158
1416.01     83.72158201
1416.51     84.34863345
1417.00     84.95186403
1417.50     85.5957587
1417.99     86.26409789
1418.49     87.02762157
1418.99     87.76082686
1419.48     88.52085268
1419.98     89.36417461
1420.47     90.21114599
1420.97     91.14646578
1421.47     91.84631631
1421.96     92.61663278
1422.46     93.26015524
1422.95     93.6304176
1423.45     94.29583433
1423.95     94.5589462
1424.44     94.8941951
1424.94     94.91458015
1425.43     95.09928355
1425.93     94.9312686
1426.42     94.95347182
1426.92     94.79669441
1427.42     94.70738493
1427.91     94.47233024
1428.41     94.26786819
1428.90     94.14190031
1429.40     93.95255618
1429.90     93.38112549
1430.39     93.69837233
1430.89     93.58519226
1431.38     93.44716258
1431.88     92.88983519
1432.38     93.42658482
1432.87     93.33355114
1433.37     93.26598471
1433.86     93.22405474
1434.36     93.19912147
1434.85     93.07093827
1435.35     93.0471292
1435.85     92.89996051
1436.34     92.80837947
1436.84     92.9895186
1437.33     92.5873397
1437.83     92.51202422
1438.33     92.51734161
1438.82     92.61927739
1439.32     92.50380124
1439.81     92.56490621
1440.31     92.55756851
1440.80     92.87229112
1441.30     93.03798618
1441.80     93.37499485
1442.29     93.5550144
1442.79     93.89649942
1443.28     93.90983516
1443.78     94.63473338
1444.28     95.06557764
1444.77     95.46010548
1445.27     95.77522383
1445.76     96.15808616
1446.26     96.39599203
1446.75     96.69358568
1447.25     96.79156473
1447.75     97.05338192
1448.24     97.08711899
1448.74     97.07042327
1449.23     97.00366435
1449.73     96.90790223
1450.23     96.60786292
1450.72     96.47121333
1451.22     96.19294405
1451.71     95.94732569
1452.21     95.57643458
1452.70     95.25552552
1453.20     94.94711344
1453.70     94.59584344
1454.19     94.36078659
1454.69     94.06821082
1455.18     93.76683657
1455.68     93.53843971
1456.18     93.35839115
1456.67     93.17827477
1457.17     92.98806256
1457.66     92.95930594
1458.16     92.80677066
1458.65     92.66873675
1459.15     92.58845483
1459.65     92.49484589
1460.14     92.43877789
1460.64     92.44704609
1461.13     92.46898776
1461.63     92.38678515
1462.13     92.41061588
1462.62     92.51690074
1463.12     92.51707499
1463.61     92.54971242
1464.11     92.64753726
1464.61     92.77429425
1465.10     92.85880041
1465.60     93.05549885
1466.09     93.28006872
1466.59     93.49095273
1467.08     93.72474543
1467.58     94.00566824
1468.08     94.27983484
1468.57     94.54335221
1469.07     94.70976621
1469.56     94.83712387
1470.06     95.16487418
1470.56     95.36224542
1471.05     95.43125484
1471.55     95.49899231
1472.04     95.55060065
1472.54     95.57918628
1473.03     95.49843481
1473.53     95.35613497
1474.03     95.22243832
1474.52     95.00455935
1475.02     94.65789964
1475.51     94.52991509
1476.01     94.30416844
1476.50     94.06536061
1477.00     93.90219676
1477.50     93.68164737
1477.99     93.60809125
1478.49     93.45926777
1478.98     93.52806093
1479.48     93.58692083
1479.98     93.7736428
1480.47     93.97169874
1480.97     94.24743676
1481.46     94.6560035
1481.96     94.92988284
1482.45     95.38447917
1482.95     95.84702821
1483.45     96.20392085
1483.94     96.58928613
1484.44     96.92400633
1484.93     97.23974605
1485.43     97.40689705
1485.92     97.58092792
1486.42     97.53303517
1486.92     97.49324017
1487.41     97.34171306
1487.91     97.09877243
1488.40     96.68759792
1488.90     96.39631642
