# DES Document 5847-v1
# Asahi measured area-weighted response [u filter], for the other filters, area-weighted response [in pass band], witness sample measurements [out of pass band]
# wavelength(nm), DECam-u, DES-g, DES-r, DES-i, DES-z, DES-Y
452,0.00081669,90.96256207,0.00041271,0.00236241,0.00222108,0.00021336
453,0.00060252,91.05039655,0.00038878,0.00210925,0.00272198,0.00044024
454,0.00076869,91.13614138,0.00027425,0.00206815,0.00395396,-0.00002550
455,0.00061659,91.15906207,0.00055216,0.00210855,0.00529201,0.00020285
456,0.00078397,91.09277931,0.00044892,0.00383600,0.00544962,0.00032179
457,0.00058872,90.97605862,0.00042351,0.00634477,0.00453551,0.00030275
458,0.00072383,90.88653793,0.00009370,0.00590907,0.00358172,0.00040596
459,0.00060655,90.85872414,0.00030407,0.00352842,0.00345285,0.00018986
460,0.00069486,90.90515862,0.00034843,0.00247476,0.00278890,0.00031069
461,0.00068907,91.01503103,0.00051460,0.00203116,0.00255399,0.00013700
462,0.00075586,91.16162759,0.00043077,0.00216816,0.00214460,0.00024974
463,0.00060062,91.30620345,0.00038925,0.00188500,0.00218201,0.00017538
464,0.00053786,91.40290345,0.00019831,0.00202320,0.00206187,0.00012468
465,0.00056666,91.43215517,0.00041294,0.00180403,0.00222913,0.00023582
466,0.00078535,91.38931034,0.00043993,0.00188596,0.00231079,0.00003970
467,0.00062259,91.26862759,0.00033870,0.00181377,0.00257817,0.00020768
468,0.00075466,91.07275517,0.00042233,0.00204814,0.00281947,0.00008320
469,0.00052914,90.82714828,0.00033570,0.00242217,0.00301960,0.00023058
470,0.00060141,90.59416897,0.00023294,0.00434727,0.00310843,0.00016969
471,0.00046976,90.45363448,0.00006040,0.00783451,0.00334479,0.00018143
472,0.00057666,90.42982069,0.00021765,0.00870643,0.00328848,-0.00006310
473,0.00044652,90.51873793,0.00023168,0.00622909,0.00301847,0.00017707
474,0.00062021,90.69572069,0.00028254,0.00360367,0.00269445,0.00024985
475,0.00049921,90.89704483,0.00028265,0.00247545,0.00209333,0.00031091
476,0.00053562,91.07421379,0.00027897,0.00256776,0.00233735,0.00039105
477,0.00039269,91.16083103,0.00020602,0.00277030,0.00217765,0.00027908
478,0.00053962,91.14034483,0.00034237,0.00279969,0.00232941,0.00024025
479,0.00053600,91.05272759,-0.00004230,0.00289052,0.00229867,0.00022126
480,0.00047286,90.96230000,0.00018272,0.00297823,0.00229373,0.00031762
481,0.00057614,90.89357586,0.00024910,0.00306496,0.00231267,0.00041963
482,0.00039845,90.84139655,0.00016023,0.00349302,0.00204850,0.00039446
483,0.00034621,90.77604138,0.00052737,0.00386324,0.00231751,0.00039851
484,0.00044600,90.67296207,0.00030183,0.00395917,0.00211294,0.00006260
485,0.00040269,90.53666897,0.00048529,0.00335356,0.00187729,0.00032801
486,0.00051145,90.39465172,0.00033113,0.00301932,0.00193832,0.00014124
487,0.00039000,90.30919655,0.00028248,0.00443058,0.00171327,0.00023559
488,0.00046245,90.34268621,0.00025164,0.01082195,0.00185298,0.00029750
489,0.00041924,90.51257586,0.00030271,0.01672908,0.00163473,0.00027897
490,0.00044076,90.76255172,0.00010235,0.01250585,0.00177163,0.00045221
491,0.00037745,90.95983793,0.00013113,0.00504151,0.00176196,0.00109963
492,0.00043372,90.98217241,0.00006100,0.00280447,0.00195973,0.00154094
493,0.00044997,90.81685517,0.00004550,0.00290832,0.00191119,0.00121086
494,0.00041566,90.53397241,0.00004140,0.00342026,0.00215803,0.00077431
495,0.00047559,90.24956207,0.00012798,0.00478034,0.00218123,0.00074757
496,0.00039945,90.08236207,0.00020177,0.00741625,0.00207113,0.00050780
497,0.00032859,90.10976207,0.00012919,0.01258975,0.00206786,0.00030634
498,0.00041597,90.30010345,0.00002250,0.01695585,0.00205836,0.00032787
499,0.00039976,90.56425862,0.00009420,0.01363018,0.00190330,0.00056857
